Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
795,Exit short,02-09-2025 03:45,BUY DD,110268,0.79449,87693.12877,86.31,0.1,188,0.21,-2.68,0,-12202.45,-12.2
795,Entry short,02-09-2025 03:00,SELL DD,110376.63,0.79449,87693.12877,86.31,0.1,188,0.21,-2.68,0,-12202.45,-12.2
796,Exit long,02-09-2025 05:15,SELL DD,110603.16,0.79621,87796.48428,266.86,0.3,352.8,0.4,-213.38,-0.24,-11935.6,-11.94
796,Entry long,02-09-2025 03:45,BUY DD,110268,0.79621,87796.48428,266.86,0.3,352.8,0.4,-213.38,-0.24,-11935.6,-11.94
797,Exit short,02-09-2025 05:15,Margin call,110671.04,0.00384,424.7161344,-0.26,-0.06,0,0,-0.26,-0.06,-11935.86,-11.94
797,Entry short,02-09-2025 05:15,SELL DD,110603.16,0.00384,424.7161344,-0.26,-0.06,0,0,-0.26,-0.06,-11935.86,-11.94
798,Exit short,02-09-2025 06:30,Close entry(s) order SELL DD,110244,0.79237,87638.62589,284.59,0.32,284.59,0.32,-53.79,-0.06,-11651.27,-11.65
798,Entry short,02-09-2025 05:15,SELL DD,110603.16,0.79237,87638.62589,284.59,0.32,284.59,0.32,-53.79,-0.06,-11651.27,-11.65
799,Exit long,02-09-2025 08:45,Close entry(s) order BUY DD,108762,0.80137,88347.83702,-1189.23,-1.35,7.35,0.01,-1253.75,-1.42,-12840.5,-12.84
799,Entry long,02-09-2025 07:00,BUY DD,110246,0.80137,88347.83702,-1189.23,-1.35,7.35,0.01,-1253.75,-1.42,-12840.5,-12.84
800,Exit short,02-09-2025 10:30,Margin call,111771.52,0.01608,1792.66063,-4.63,-0.26,1.92,0.11,-4.63,-0.26,-12845.13,-12.85
800,Entry short,02-09-2025 10:30,SELL DD,111483.87,0.01608,1792.66063,-4.63,-0.26,1.92,0.11,-4.63,-0.26,-12845.13,-12.85
801,Exit short,02-09-2025 15:00,BUY DD,110646.47,0.76573,85366.54378,641.22,0.75,983.1,1.15,-220.26,-0.26,-12203.9,-12.2
801,Entry short,02-09-2025 10:30,SELL DD,111483.87,0.76573,85366.54378,641.22,0.75,983.1,1.15,-220.26,-0.26,-12203.9,-12.2
802,Exit long,02-09-2025 15:30,SELL DD,110513.51,0.79348,87795.76102,-105.5,-0.12,153.56,0.17,-150.67,-0.17,-12309.41,-12.31
802,Entry long,02-09-2025 15:00,BUY DD,110646.47,0.79348,87795.76102,-105.5,-0.12,153.56,0.17,-150.67,-0.17,-12309.41,-12.31
803,Exit short,02-09-2025 15:30,Margin call,110742.84,0.01312,1449.937251,-3.01,-0.21,0.95,0.07,-3.01,-0.21,-12312.42,-12.31
803,Entry short,02-09-2025 15:30,SELL DD,110513.51,0.01312,1449.937251,-3.01,-0.21,0.95,0.07,-3.01,-0.21,-12312.42,-12.31
804,Exit short,02-09-2025 16:00,BUY DD,110806.01,0.78036,86240.32266,-228.26,-0.26,56.26,0.07,-237.28,-0.28,-12540.67,-12.54
804,Entry short,02-09-2025 15:30,SELL DD,110513.51,0.78036,86240.32266,-228.26,-0.26,56.26,0.07,-237.28,-0.28,-12540.67,-12.54
805,Exit long,02-09-2025 17:00,SELL DD,111418.49,0.7893,87459.18369,483.43,0.55,483.98,0.55,-70.44,-0.08,-12057.24,-12.06
805,Entry long,02-09-2025 16:00,BUY DD,110806.01,0.7893,87459.18369,483.43,0.55,483.98,0.55,-70.44,-0.08,-12057.24,-12.06
806,Exit short,02-09-2025 17:00,Margin call,111517.84,0.0056,623.943544,-0.56,-0.09,0.26,0.04,-0.56,-0.09,-12057.8,-12.06
806,Entry short,02-09-2025 17:00,SELL DD,111418.49,0.0056,623.943544,-0.56,-0.09,0.26,0.04,-0.56,-0.09,-12057.8,-12.06
807,Exit short,02-09-2025 17:45,Close entry(s) order SELL DD,111360.86,0.7837,87318.67061,45.16,0.05,128.71,0.15,-93.79,-0.11,-12012.63,-12.01
807,Entry short,02-09-2025 17:00,SELL DD,111418.49,0.7837,87318.67061,45.16,0.05,128.71,0.15,-93.79,-0.11,-12012.63,-12.01
808,Exit short,02-09-2025 19:30,Margin call,111164.83,0.00484,537.6214404,-0.42,-0.08,0.3,0.05,-0.42,-0.08,-12013.05,-12.01
808,Entry short,02-09-2025 19:30,SELL DD,111078.81,0.00484,537.6214404,-0.42,-0.08,0.3,0.05,-0.42,-0.08,-12013.05,-12.01
809,Exit short,02-09-2025 20:00,Margin call,111548,0.0072,799.767432,-3.38,-0.42,0.44,0.05,-3.38,-0.42,-12016.43,-12.02
809,Entry short,02-09-2025 19:30,SELL DD,111078.81,0.0072,799.767432,-3.38,-0.42,0.44,0.05,-3.38,-0.42,-12016.43,-12.02
810,Exit short,02-09-2025 22:00,BUY DD,111176.93,0.78007,86649.24732,-76.54,-0.09,138.66,0.16,-548.7,-0.63,-12092.97,-12.09
810,Entry short,02-09-2025 19:30,SELL DD,111078.81,0.78007,86649.24732,-76.54,-0.09,138.66,0.16,-548.7,-0.63,-12092.97,-12.09
811,Exit long,03-09-2025 03:00,SELL DD,110724,0.79069,87906.48678,-358.13,-0.41,242.84,0.28,-495.87,-0.56,-12451.09,-12.45
811,Entry long,02-09-2025 22:00,BUY DD,111176.93,0.79069,87906.48678,-358.13,-0.41,242.84,0.28,-495.87,-0.56,-12451.09,-12.45
812,Exit short,03-09-2025 03:00,Margin call,110845.34,0.00688,761.78112,-0.83,-0.11,0,0,-0.83,-0.11,-12451.93,-12.45
812,Entry short,03-09-2025 03:00,SELL DD,110724,0.00688,761.78112,-0.83,-0.11,0,0,-0.83,-0.11,-12451.93,-12.45
813,Exit short,03-09-2025 03:30,BUY DD,110780,0.78381,86786.57844,-43.89,-0.05,153.07,0.18,-95.11,-0.11,-12495.82,-12.5
813,Entry short,03-09-2025 03:00,SELL DD,110724,0.78381,86786.57844,-43.89,-0.05,153.07,0.18,-95.11,-0.11,-12495.82,-12.5
814,Exit long,03-09-2025 04:45,SELL DD,111065.44,0.78989,87504.0142,225.47,0.26,394.53,0.45,0,0,-12270.36,-12.27
814,Entry long,03-09-2025 03:30,BUY DD,110780,0.78989,87504.0142,225.47,0.26,394.53,0.45,0,0,-12270.36,-12.27
815,Exit short,03-09-2025 04:45,Margin call,111076.57,0.0006,66.639264,-0.01,-0.01,0,0,-0.01,-0.01,-12270.36,-12.27
815,Entry short,03-09-2025 04:45,SELL DD,111065.44,0.0006,66.639264,-0.01,-0.01,0,0,-0.01,-0.01,-12270.36,-12.27
816,Exit short,03-09-2025 05:15,Margin call,111266.11,0.00896,995.1463424,-1.8,-0.18,1.58,0.16,-1.8,-0.18,-12272.16,-12.27
816,Entry short,03-09-2025 04:45,SELL DD,111065.44,0.00896,995.1463424,-1.8,-0.18,1.58,0.16,-1.8,-0.18,-12272.16,-12.27
817,Exit short,03-09-2025 08:30,Margin call,111858.57,0.00632,701.9335808,-5.01,-0.71,1.11,0.16,-5.01,-0.71,-12277.17,-12.28
817,Entry short,03-09-2025 04:45,SELL DD,111065.44,0.00632,701.9335808,-5.01,-0.71,1.11,0.16,-5.01,-0.71,-12277.17,-12.28
818,Exit short,03-09-2025 10:30,Margin call,112500,0.01648,1830.358451,-23.64,-1.29,2.9,0.16,-23.64,-1.29,-12300.81,-12.3
818,Entry short,03-09-2025 04:45,SELL DD,111065.44,0.01648,1830.358451,-23.64,-1.29,2.9,0.16,-23.64,-1.29,-12300.81,-12.3
819,Exit short,03-09-2025 10:45,BUY DD,112476,0.75753,84135.40276,-1068.54,-1.27,133.44,0.16,-1086.72,-1.29,-13369.36,-13.37
819,Entry short,03-09-2025 04:45,SELL DD,111065.44,0.75753,84135.40276,-1068.54,-1.27,133.44,0.16,-1086.72,-1.29,-13369.36,-13.37
820,Exit long,03-09-2025 13:15,Close entry(s) order BUY DD,112380.32,0.77021,86630.13996,-73.69,-0.09,16.94,0.02,-608.28,-0.7,-13443.05,-13.44
820,Entry long,03-09-2025 10:45,BUY DD,112476,0.77021,86630.13996,-73.69,-0.09,16.94,0.02,-608.28,-0.7,-13443.05,-13.44
821,Exit long,03-09-2025 18:15,Close entry(s) order BUY DD,112096.27,0.7741,86556.22373,217.5,0.25,338.3,0.39,-43.19,-0.05,-13225.55,-13.23
821,Entry long,03-09-2025 15:15,BUY DD,111815.3,0.7741,86556.22373,217.5,0.25,338.3,0.39,-43.19,-0.05,-13225.55,-13.23
822,Exit short,03-09-2025 18:45,Margin call,111979.99,0.00328,367.0975672,-0.2,-0.05,0,0,-0.2,-0.05,-13225.75,-13.23
822,Entry short,03-09-2025 18:45,SELL DD,111919.99,0.00328,367.0975672,-0.2,-0.05,0,0,-0.2,-0.05,-13225.75,-13.23
823,Exit short,03-09-2025 19:15,BUY DD,111864.68,0.77204,86406.70908,42.7,0.05,61.86,0.07,-46.33,-0.05,-13183.05,-13.18
823,Entry short,03-09-2025 18:45,SELL DD,111919.99,0.77204,86406.70908,42.7,0.05,61.86,0.07,-46.33,-0.05,-13183.05,-13.18
824,Exit long,03-09-2025 21:00,SELL DD,112065.6,0.77608,86815.94085,155.93,0.18,244.71,0.28,-194.56,-0.22,-13027.12,-13.03
824,Entry long,03-09-2025 19:15,BUY DD,111864.68,0.77608,86815.94085,155.93,0.18,244.71,0.28,-194.56,-0.22,-13027.12,-13.03
825,Exit short,03-09-2025 21:00,Margin call,112080,0.00076,85.169856,-0.01,-0.01,0,0,-0.01,-0.01,-13027.13,-13.03
825,Entry short,03-09-2025 21:00,SELL DD,112065.6,0.00076,85.169856,-0.01,-0.01,0,0,-0.01,-0.01,-13027.13,-13.03
826,Exit short,03-09-2025 21:45,BUY DD,111891.41,0.77532,86886.70099,135.05,0.16,328.71,0.38,-11.16,-0.01,-12892.07,-12.89
826,Entry short,03-09-2025 21:00,SELL DD,112065.6,0.77532,86886.70099,135.05,0.16,328.71,0.38,-11.16,-0.01,-12892.07,-12.89
827,Exit long,03-09-2025 23:00,Close entry(s) order BUY DD,111450.16,0.7785,87107.46269,-343.51,-0.39,68.98,0.08,-377.28,-0.43,-13235.59,-13.24
827,Entry long,03-09-2025 21:45,BUY DD,111891.41,0.7785,87107.46269,-343.51,-0.39,68.98,0.08,-377.28,-0.43,-13235.59,-13.24
828,Exit long,04-09-2025 01:45,Close entry(s) order BUY DD,110619,0.78066,86763.8483,-408.02,-0.47,68.75,0.08,-446.77,-0.51,-13643.61,-13.64
828,Entry long,04-09-2025 00:30,BUY DD,111141.66,0.78066,86763.8483,-408.02,-0.47,68.75,0.08,-446.77,-0.51,-13643.61,-13.64
829,Exit short,04-09-2025 05:00,Margin call,110856.63,0.01212,1340.968435,-2.61,-0.19,0,0,-2.61,-0.19,-13646.22,-13.65
829,Entry short,04-09-2025 05:00,SELL DD,110640.96,0.01212,1340.968435,-2.61,-0.19,0,0,-2.61,-0.19,-13646.22,-13.65
830,Exit short,04-09-2025 10:45,BUY DD,110100.82,0.76839,85015.40725,415.04,0.49,718.81,0.85,-394.93,-0.46,-13231.18,-13.23
830,Entry short,04-09-2025 05:00,SELL DD,110640.96,0.76839,85015.40725,415.04,0.49,718.81,0.85,-394.93,-0.46,-13231.18,-13.23
831,Exit long,04-09-2025 11:45,Close entry(s) order BUY DD,109456.02,0.78808,86768.25423,-508.15,-0.59,70.95,0.08,-608.16,-0.7,-13739.34,-13.74
831,Entry long,04-09-2025 10:45,BUY DD,110100.82,0.78808,86768.25423,-508.15,-0.59,70.95,0.08,-608.16,-0.7,-13739.34,-13.74
832,Exit short,04-09-2025 19:00,Margin call,111765.31,0.01516,1690.199618,-4.16,-0.25,2.21,0.13,-4.16,-0.25,-13743.5,-13.74
832,Entry short,04-09-2025 19:00,SELL DD,111490.74,0.01516,1690.199618,-4.16,-0.25,2.21,0.13,-4.16,-0.25,-13743.5,-13.74
833,Exit short,04-09-2025 20:30,BUY DD,110695.72,0.75854,84570.18592,603.05,0.71,726.9,0.86,-208.27,-0.25,-13140.44,-13.14
833,Entry short,04-09-2025 19:00,SELL DD,111490.74,0.75854,84570.18592,603.05,0.71,726.9,0.86,-208.27,-0.25,-13140.44,-13.14
834,Exit long,04-09-2025 22:45,SELL DD,111355.07,0.78466,86858.50366,517.37,0.6,598.2,0.69,-203.99,-0.23,-12623.08,-12.62
834,Entry long,04-09-2025 20:30,BUY DD,110695.72,0.78466,86858.50366,517.37,0.6,598.2,0.69,-203.99,-0.23,-12623.08,-12.62
835,Exit short,04-09-2025 22:45,Margin call,111482.09,0.00708,788.3938956,-0.9,-0.11,0.1,0.01,-0.9,-0.11,-12623.98,-12.62
835,Entry short,04-09-2025 22:45,SELL DD,111355.07,0.00708,788.3938956,-0.9,-0.11,0.1,0.01,-0.9,-0.11,-12623.98,-12.62
836,Exit short,05-09-2025 00:00,BUY DD,111311.78,0.77758,86587.47533,33.66,0.04,200.93,0.23,-98.77,-0.11,-12590.32,-12.59
836,Entry short,04-09-2025 22:45,SELL DD,111355.07,0.77758,86587.47533,33.66,0.04,200.93,0.23,-98.77,-0.11,-12590.32,-12.59
837,Exit long,05-09-2025 00:30,SELL DD,111257.99,0.78526,87408.68836,-42.24,-0.05,31.14,0.04,-131.35,-0.15,-12632.56,-12.63
837,Entry long,05-09-2025 00:00,BUY DD,111311.78,0.78526,87408.68836,-42.24,-0.05,31.14,0.04,-131.35,-0.15,-12632.56,-12.63
838,Exit short,05-09-2025 00:30,Margin call,111412.14,0.00864,961.2690336,-1.33,-0.14,0,0,-1.33,-0.14,-12633.89,-12.63
838,Entry short,05-09-2025 00:30,SELL DD,111257.99,0.00864,961.2690336,-1.33,-0.14,0,0,-1.33,-0.14,-12633.89,-12.63
839,Exit short,05-09-2025 01:45,Close entry(s) order SELL DD,111635.34,0.77662,86405.18019,-293.06,-0.34,0,0,-351.42,-0.41,-12926.95,-12.93
839,Entry short,05-09-2025 00:30,SELL DD,111257.99,0.77662,86405.18019,-293.06,-0.34,0,0,-351.42,-0.41,-12926.95,-12.93
840,Exit long,05-09-2025 07:45,Close entry(s) order BUY DD,112336.79,0.77533,87072.55953,25.52,0.03,207.81,0.24,-128.49,-0.15,-12901.42,-12.9
840,Entry long,05-09-2025 06:00,BUY DD,112303.87,0.77533,87072.55953,25.52,0.03,207.81,0.24,-128.49,-0.15,-12901.42,-12.9
841,Exit short,05-09-2025 09:00,Margin call,113278.81,0.00344,389.4588432,-0.22,-0.06,0,0,-0.22,-0.06,-12901.64,-12.9
841,Entry short,05-09-2025 09:00,SELL DD,113214.78,0.00344,389.4588432,-0.22,-0.06,0,0,-0.22,-0.06,-12901.64,-12.9
842,Exit short,05-09-2025 11:30,BUY DD,110884.88,0.76588,86708.93571,1784.42,2.06,2242.4,2.59,-72.93,-0.08,-11117.22,-11.12
842,Entry short,05-09-2025 09:00,SELL DD,113214.78,0.76588,86708.93571,1784.42,2.06,2242.4,2.59,-72.93,-0.08,-11117.22,-11.12
843,Exit long,05-09-2025 15:15,SELL DD,111206.34,0.80157,88881.99326,257.67,0.29,327.33,0.37,-543.4,-0.61,-10859.55,-10.86
843,Entry long,05-09-2025 11:30,BUY DD,110884.88,0.80157,88881.99326,257.67,0.29,327.33,0.37,-543.4,-0.61,-10859.55,-10.86
844,Exit short,05-09-2025 15:15,Margin call,111394.27,0.01076,1196.580218,-2.02,-0.17,0.31,0.03,-2.02,-0.17,-10861.57,-10.86
844,Entry short,05-09-2025 15:15,SELL DD,111206.34,0.01076,1196.580218,-2.02,-0.17,0.31,0.03,-2.02,-0.17,-10861.57,-10.86
845,Exit short,05-09-2025 16:00,Close entry(s) order SELL DD,111614.54,0.79081,87943.08574,-322.81,-0.37,40.45,0.05,-333.07,-0.38,-11184.38,-11.18
845,Entry short,05-09-2025 15:15,SELL DD,111206.34,0.79081,87943.08574,-322.81,-0.37,40.45,0.05,-333.07,-0.38,-11184.38,-11.18
846,Exit short,05-09-2025 17:30,Margin call,111060,0.00544,603.6504704,-0.52,-0.09,0,0,-0.52,-0.09,-11184.89,-11.18
846,Entry short,05-09-2025 17:30,SELL DD,110965.16,0.00544,603.6504704,-0.52,-0.09,0,0,-0.52,-0.09,-11184.89,-11.18
847,Exit short,05-09-2025 20:00,BUY DD,110660,0.79495,88211.75394,242.59,0.28,369.78,0.42,-75.39,-0.09,-10942.31,-10.94
847,Entry short,05-09-2025 17:30,SELL DD,110965.16,0.79495,88211.75394,242.59,0.28,369.78,0.42,-75.39,-0.09,-10942.31,-10.94
848,Exit long,06-09-2025 02:00,Close entry(s) order BUY DD,110714,0.80478,89056.9548,43.46,0.05,521.26,0.59,-86.47,-0.1,-10898.85,-10.9
848,Entry long,05-09-2025 20:00,BUY DD,110660,0.80478,89056.9548,43.46,0.05,521.26,0.59,-86.47,-0.1,-10898.85,-10.9
849,Exit short,06-09-2025 03:00,Margin call,110800,0.00272,301.2477248,-0.13,-0.04,0.01,0,-0.13,-0.04,-10898.98,-10.9
849,Entry short,06-09-2025 03:00,SELL DD,110752.84,0.00272,301.2477248,-0.13,-0.04,0.01,0,-0.13,-0.04,-10898.98,-10.9
850,Exit short,06-09-2025 03:30,BUY DD,110817,0.80178,88799.41206,-51.44,-0.06,1.76,0,-51.44,-0.06,-10950.42,-10.95
850,Entry short,06-09-2025 03:00,SELL DD,110752.84,0.80178,88799.41206,-51.44,-0.06,1.76,0,-51.44,-0.06,-10950.42,-10.95
851,Exit long,06-09-2025 04:30,SELL DD,110784.01,0.80357,89049.21669,-26.51,-0.03,13.67,0.02,-34.18,-0.04,-10976.93,-10.98
851,Entry long,06-09-2025 03:30,BUY DD,110817,0.80357,89049.21669,-26.51,-0.03,13.67,0.02,-34.18,-0.04,-10976.93,-10.98
852,Exit short,06-09-2025 04:30,Margin call,110898,0.00656,726.7431056,-0.75,-0.1,0.0001,0,-0.75,-0.1,-10977.68,-10.98
852,Entry short,06-09-2025 04:30,SELL DD,110784.01,0.00656,726.7431056,-0.75,-0.1,0.0001,0,-0.75,-0.1,-10977.68,-10.98
853,Exit short,06-09-2025 08:30,Close entry(s) order SELL DD,110787.76,0.79701,88295.96381,-2.99,0,86.42,0.1,-146.64,-0.17,-10980.66,-10.98
853,Entry short,06-09-2025 04:30,SELL DD,110784.01,0.79701,88295.96381,-2.99,0,86.42,0.1,-146.64,-0.17,-10980.66,-10.98
854,Exit long,06-09-2025 12:45,Close entry(s) order BUY DD,110223.72,0.80481,89019.28563,-310.13,-0.35,0,0,-508.7,-0.57,-11290.8,-11.29
854,Entry long,06-09-2025 11:45,BUY DD,110609.07,0.80481,89019.28563,-310.13,-0.35,0,0,-508.7,-0.57,-11290.8,-11.29
855,Exit short,06-09-2025 14:45,Margin call,110285.65,0.01152,1268.212838,-2.28,-0.18,0.36,0.03,-2.28,-0.18,-11293.08,-11.29
855,Entry short,06-09-2025 14:45,SELL DD,110087.92,0.01152,1268.212838,-2.28,-0.18,0.36,0.03,-2.28,-0.18,-11293.08,-11.29
856,Exit short,06-09-2025 15:15,BUY DD,110168.26,0.79428,87440.6331,-63.81,-0.07,25.12,0.03,-157.05,-0.18,-11356.89,-11.36
856,Entry short,06-09-2025 14:45,SELL DD,110087.92,0.79428,87440.6331,-63.81,-0.07,25.12,0.03,-157.05,-0.18,-11356.89,-11.36
857,Exit long,06-09-2025 17:45,SELL DD,110165.25,0.80461,88642.48368,-2.42,0,50.52,0.06,-135.38,-0.15,-11359.31,-11.36
857,Entry long,06-09-2025 15:15,BUY DD,110168.26,0.80461,88642.48368,-2.42,0,50.52,0.06,-135.38,-0.15,-11359.31,-11.36
858,Exit short,06-09-2025 17:45,Margin call,110205.82,0.00232,255.58338,-0.09,-0.04,0.00002,0,-0.09,-0.04,-11359.4,-11.36
858,Entry short,06-09-2025 17:45,SELL DD,110165.25,0.00232,255.58338,-0.09,-0.04,0.00002,0,-0.09,-0.04,-11359.4,-11.36
859,Exit short,06-09-2025 20:30,BUY DD,110240.65,0.80229,88384.47842,-60.49,-0.07,72.45,0.08,-94.33,-0.11,-11419.9,-11.42
859,Entry short,06-09-2025 17:45,SELL DD,110165.25,0.80229,88384.47842,-60.49,-0.07,72.45,0.08,-94.33,-0.11,-11419.9,-11.42
860,Exit long,07-09-2025 02:00,SELL DD,110649.45,0.80351,88579.46468,328.47,0.37,395.7,0.45,-26.85,-0.03,-11091.42,-11.09
860,Entry long,06-09-2025 20:30,BUY DD,110240.65,0.80351,88579.46468,328.47,0.37,395.7,0.45,-26.85,-0.03,-11091.42,-11.09
861,Exit short,07-09-2025 02:00,Margin call,110665.35,0.00088,97.371516,-0.01,-0.01,0,0,-0.01,-0.01,-11091.44,-11.09
861,Entry short,07-09-2025 02:00,SELL DD,110649.45,0.00088,97.371516,-0.01,-0.01,0,0,-0.01,-0.01,-11091.44,-11.09
862,Exit short,07-09-2025 03:30,BUY DD,110666.41,0.80263,88810.56805,-13.61,-0.02,149.57,0.17,-37.36,-0.04,-11105.05,-11.11
862,Entry short,07-09-2025 02:00,SELL DD,110649.45,0.80263,88810.56805,-13.61,-0.02,149.57,0.17,-37.36,-0.04,-11105.05,-11.11
863,Exit long,07-09-2025 04:15,SELL DD,110831.26,0.80326,88893.9005,132.42,0.15,196.81,0.22,0,0,-10972.63,-10.97
863,Entry long,07-09-2025 03:30,BUY DD,110666.41,0.80326,88893.9005,132.42,0.15,196.81,0.22,0,0,-10972.63,-10.97
864,Exit short,07-09-2025 04:15,Margin call,111303.42,0.0272,3014.610272,-12.84,-0.43,0,0,-12.84,-0.43,-10985.47,-10.99
864,Entry short,07-09-2025 04:15,SELL DD,110831.26,0.0272,3014.610272,-12.84,-0.43,0,0,-12.84,-0.43,-10985.47,-10.99
865,Exit short,07-09-2025 05:00,Close entry(s) order SELL DD,111071.25,0.77606,86011.70764,-186.25,-0.22,0,0,-423.67,-0.49,-11171.72,-11.17
865,Entry short,07-09-2025 04:15,SELL DD,110831.26,0.77606,86011.70764,-186.25,-0.22,0,0,-423.67,-0.49,-11171.72,-11.17
866,Exit long,07-09-2025 06:15,Close entry(s) order BUY DD,111188.79,0.79901,88827.73947,13.22,0.01,19.38,0.02,-236,-0.27,-11158.5,-11.16
866,Entry long,07-09-2025 05:30,BUY DD,111172.25,0.79901,88827.73947,13.22,0.01,19.38,0.02,-236,-0.27,-11158.5,-11.16
867,Exit long,07-09-2025 10:15,SELL DD,111158,0.79897,88840.90987,-29,-0.03,173.94,0.2,-60.85,-0.07,-11187.51,-11.19
867,Entry long,07-09-2025 09:45,BUY DD,111194.3,0.79897,88840.90987,-29,-0.03,173.94,0.2,-60.85,-0.07,-11187.51,-11.19
868,Exit short,07-09-2025 10:15,Margin call,111206.37,0.00272,302.34976,-0.13,-0.04,0,0,-0.13,-0.04,-11187.64,-11.19
868,Entry short,07-09-2025 10:15,SELL DD,111158,0.00272,302.34976,-0.13,-0.04,0,0,-0.13,-0.04,-11187.64,-11.19
869,Exit short,07-09-2025 11:30,Margin call,111373.43,0.00144,160.06752,-0.31,-0.19,0.14,0.09,-0.31,-0.19,-11187.95,-11.19
869,Entry short,07-09-2025 10:15,SELL DD,111158,0.00144,160.06752,-0.31,-0.19,0.14,0.09,-0.31,-0.19,-11187.95,-11.19
870,Exit short,07-09-2025 12:00,Close entry(s) order SELL DD,111329.99,0.79481,88349.48998,-136.7,-0.15,78.23,0.09,-171.23,-0.19,-11324.65,-11.32
870,Entry short,07-09-2025 10:15,SELL DD,111158,0.79481,88349.48998,-136.7,-0.15,78.23,0.09,-171.23,-0.19,-11324.65,-11.32
871,Exit long,07-09-2025 14:00,Close entry(s) order BUY DD,110962.84,0.79742,88674.71479,-190.73,-0.22,28.58,0.03,-250.35,-0.28,-11515.38,-11.52
871,Entry long,07-09-2025 13:00,BUY DD,111202.02,0.79742,88674.71479,-190.73,-0.22,28.58,0.03,-250.35,-0.28,-11515.38,-11.52
872,Exit long,07-09-2025 19:00,SELL DD,111250.01,0.79481,88484.21028,-61.59,-0.07,29.33,0.03,-194.2,-0.22,-11576.97,-11.58
872,Entry long,07-09-2025 18:30,BUY DD,111327.5,0.79481,88484.21028,-61.59,-0.07,29.33,0.03,-194.2,-0.22,-11576.97,-11.58
873,Exit short,07-09-2025 19:00,Margin call,111329.87,0.00452,502.8500452,-0.36,-0.07,0.00005,0,-0.36,-0.07,-11577.33,-11.58
873,Entry short,07-09-2025 19:00,SELL DD,111250.01,0.00452,502.8500452,-0.36,-0.07,0.00005,0,-0.36,-0.07,-11577.33,-11.58
874,Exit short,07-09-2025 19:15,Margin call,111600,0.0018,200.250018,-0.63,-0.31,0.00002,0,-0.63,-0.31,-11577.96,-11.58
874,Entry short,07-09-2025 19:00,SELL DD,111250.01,0.0018,200.250018,-0.63,-0.31,0.00002,0,-0.63,-0.31,-11577.96,-11.58
875,Exit short,07-09-2025 20:30,BUY DD,111231.32,0.78849,87719.52038,14.74,0.02,214.15,0.24,-275.96,-0.31,-11563.22,-11.56
875,Entry short,07-09-2025 19:00,SELL DD,111250.01,0.78849,87719.52038,14.74,0.02,214.15,0.24,-275.96,-0.31,-11563.22,-11.56
876,Exit long,07-09-2025 21:30,Close entry(s) order BUY DD,110803.86,0.79507,88436.68559,-339.86,-0.38,49.25,0.06,-397.22,-0.45,-11903.08,-11.9
876,Entry long,07-09-2025 20:30,BUY DD,111231.32,0.79507,88436.68559,-339.86,-0.38,49.25,0.06,-397.22,-0.45,-11903.08,-11.9
877,Exit short,08-09-2025 01:00,Margin call,111002.11,0.00128,142.053568,-0.03,-0.02,0,0,-0.03,-0.02,-11903.11,-11.9
877,Entry short,08-09-2025 01:00,SELL DD,110979.35,0.00128,142.053568,-0.03,-0.02,0,0,-0.03,-0.02,-11903.11,-11.9
878,Exit short,08-09-2025 02:15,Margin call,111197.86,0.00732,812.368842,-1.6,-0.2,0.58,0.07,-1.6,-0.2,-11904.71,-11.9
878,Entry short,08-09-2025 01:00,SELL DD,110979.35,0.00732,812.368842,-1.6,-0.2,0.58,0.07,-1.6,-0.2,-11904.71,-11.9
879,Exit short,08-09-2025 03:30,Margin call,111609.04,0.00124,137.614394,-0.78,-0.57,0.1,0.07,-0.78,-0.57,-11905.49,-11.91
879,Entry short,08-09-2025 01:00,SELL DD,110979.35,0.00124,137.614394,-0.78,-0.57,0.1,0.07,-0.78,-0.57,-11905.49,-11.91
880,Exit short,08-09-2025 04:00,Close entry(s) order SELL DD,111280.4,0.78397,87004.48102,-236.01,-0.27,62.45,0.07,-493.66,-0.57,-12141.5,-12.14
880,Entry short,08-09-2025 01:00,SELL DD,110979.35,0.78397,87004.48102,-236.01,-0.27,62.45,0.07,-493.66,-0.57,-12141.5,-12.14
881,Exit short,08-09-2025 05:15,Margin call,112062,0.0052,582.2362,-0.49,-0.08,0,0,-0.49,-0.08,-12141.99,-12.14
881,Entry short,08-09-2025 05:15,SELL DD,111968.5,0.0052,582.2362,-0.49,-0.08,0,0,-0.49,-0.08,-12141.99,-12.14
882,Exit short,08-09-2025 06:30,Close entry(s) order SELL DD,112146.02,0.77947,87276.0867,-138.37,-0.16,159.84,0.18,-145.89,-0.17,-12280.36,-12.28
882,Entry short,08-09-2025 05:15,SELL DD,111968.5,0.77947,87276.0867,-138.37,-0.16,159.84,0.18,-145.89,-0.17,-12280.36,-12.28
883,Exit long,08-09-2025 12:45,Close entry(s) order BUY DD,112479.56,0.78284,87719.1243,334.37,0.38,682.59,0.78,-136.83,-0.16,-11945.99,-11.95
883,Entry long,08-09-2025 08:00,BUY DD,112052.43,0.78284,87719.1243,334.37,0.38,682.59,0.78,-136.83,-0.16,-11945.99,-11.95
