Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
169,Entry long,14-07-2025 17:45,BUY DD,120000.01,0.79917,95900.40799,-478.01,-0.5,239.74,0.25,-711.27,-0.74,-4577.44,-4.58
170,Exit long,15-07-2025 07:15,SELL DD,116780,0.81705,95421.90503,-6.81,-0.01,356.03,0.37,-398.99,-0.42,-4584.25,-4.58
170,Entry long,15-07-2025 04:15,BUY DD,116788.33,0.81705,95421.90503,-6.81,-0.01,356.03,0.37,-398.99,-0.42,-4584.25,-4.58
171,Exit short,15-07-2025 07:45,Margin call,117161.52,0.02124,2480.4072,-8.1,-0.33,9.38,0.38,-8.1,-0.33,-4592.35,-4.59
171,Entry short,15-07-2025 07:15,SELL DD,116780,0.02124,2480.4072,-8.1,-0.33,9.38,0.38,-8.1,-0.33,-4592.35,-4.59
172,Exit short,15-07-2025 08:30,Close entry(s) order SELL DD,116909.62,0.79581,92934.6918,-103.15,-0.11,351.51,0.38,-428.52,-0.46,-4695.51,-4.7
172,Entry short,15-07-2025 07:15,SELL DD,116780,0.79581,92934.6918,-103.15,-0.11,351.51,0.38,-428.52,-0.46,-4695.51,-4.7
173,Exit short,15-07-2025 19:30,Margin call,117784.65,0.01144,1345.075503,-2.38,-0.18,0.88,0.07,-2.38,-0.18,-4697.89,-4.7
173,Entry short,15-07-2025 19:30,SELL DD,117576.53,0.01144,1345.075503,-2.38,-0.18,0.88,0.07,-2.38,-0.18,-4697.89,-4.7
174,Exit short,15-07-2025 21:30,Close entry(s) order SELL DD,117663.57,0.79913,93958.93242,-69.56,-0.07,120.88,0.13,-494.24,-0.53,-4767.44,-4.77
174,Entry short,15-07-2025 19:30,SELL DD,117576.53,0.79913,93958.93242,-69.56,-0.07,120.88,0.13,-494.24,-0.53,-4767.44,-4.77
175,Exit long,16-07-2025 06:45,SELL DD,118820.64,0.80894,95231.88715,886.88,0.93,1283.35,1.35,-571.92,-0.6,-3880.56,-3.88
175,Entry long,15-07-2025 22:00,BUY DD,117724.29,0.80894,95231.88715,886.88,0.93,1283.35,1.35,-571.92,-0.6,-3880.56,-3.88
176,Exit short,16-07-2025 06:45,Margin call,118923.65,0.00556,660.6427584,-0.57,-0.09,0.48,0.07,-0.57,-0.09,-3881.14,-3.88
176,Entry short,16-07-2025 06:45,SELL DD,118820.64,0.00556,660.6427584,-0.57,-0.09,0.48,0.07,-0.57,-0.09,-3881.14,-3.88
177,Exit short,16-07-2025 07:30,BUY DD,118911.89,0.80338,95458.12576,-73.31,-0.08,137.09,0.14,-82.76,-0.09,-3954.44,-3.95
177,Entry short,16-07-2025 06:45,SELL DD,118820.64,0.80338,95458.12576,-73.31,-0.08,137.09,0.14,-82.76,-0.09,-3954.44,-3.95
178,Exit long,16-07-2025 08:00,SELL DD,118769.06,0.8077,96045.13355,-115.36,-0.12,0.38,0,-164.59,-0.17,-4069.81,-4.07
178,Entry long,16-07-2025 07:30,BUY DD,118911.89,0.8077,96045.13355,-115.36,-0.12,0.38,0,-164.59,-0.17,-4069.81,-4.07
179,Exit short,16-07-2025 08:00,Margin call,118883.54,0.0062,736.368172,-0.71,-0.1,0.43,0.06,-0.71,-0.1,-4070.52,-4.07
179,Entry short,16-07-2025 08:00,SELL DD,118769.06,0.0062,736.368172,-0.71,-0.1,0.43,0.06,-0.71,-0.1,-4070.52,-4.07
180,Exit short,16-07-2025 08:30,BUY DD,118891.41,0.8015,95193.40159,-98.06,-0.1,55.35,0.06,-104.15,-0.11,-4168.58,-4.17
180,Entry short,16-07-2025 08:00,SELL DD,118769.06,0.8015,95193.40159,-98.06,-0.1,55.35,0.06,-104.15,-0.11,-4168.58,-4.17
181,Exit long,16-07-2025 10:00,SELL DD,118700.02,0.80604,95831.23212,-154.27,-0.16,154.38,0.16,-572.51,-0.6,-4322.85,-4.32
181,Entry long,16-07-2025 08:30,BUY DD,118891.41,0.80604,95831.23212,-154.27,-0.16,154.38,0.16,-572.51,-0.6,-4322.85,-4.32
182,Exit short,16-07-2025 10:00,Margin call,118783.88,0.00452,536.5240904,-0.38,-0.07,0,0,-0.38,-0.07,-4323.23,-4.32
182,Entry short,16-07-2025 10:00,SELL DD,118700.02,0.00452,536.5240904,-0.38,-0.07,0,0,-0.38,-0.07,-4323.23,-4.32
183,Exit short,16-07-2025 10:45,Margin call,119260,0.01208,1433.896242,-6.76,-0.47,6.04,0.42,-6.76,-0.47,-4329.99,-4.33
183,Entry short,16-07-2025 10:00,SELL DD,118700.02,0.01208,1433.896242,-6.76,-0.47,6.04,0.42,-6.76,-0.47,-4329.99,-4.33
184,Exit short,16-07-2025 11:30,Close entry(s) order SELL DD,119498.28,0.78944,93706.54379,-630.18,-0.67,394.74,0.42,-864.26,-0.92,-4960.17,-4.96
184,Entry short,16-07-2025 10:00,SELL DD,118700.02,0.78944,93706.54379,-630.18,-0.67,394.74,0.42,-864.26,-0.92,-4960.17,-4.96
185,Exit long,16-07-2025 15:45,Close entry(s) order BUY DD,118906.93,0.79748,95039.8066,-213.91,-0.23,581.34,0.61,-281.06,-0.3,-5174.08,-5.17
185,Entry long,16-07-2025 14:30,BUY DD,119175.16,0.79748,95039.8066,-213.91,-0.23,581.34,0.61,-281.06,-0.3,-5174.08,-5.17
186,Exit long,16-07-2025 21:15,SELL DD,119053,0.79804,94825.89796,183.16,0.19,267.18,0.28,-196.53,-0.21,-4990.92,-4.99
